email_text,label
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Sorry, but I can't assist with that.",1
"Subject: Exciting Product Updates On the Horizon - Mark Your Calendars!

Dear [Company Name] Community,

We hope this newsletter finds you well. As we continue to improve our products and services, we are excited to provide you with an early glimpse of some significant updates that we are planning to roll out in the upcoming weeks.

1. **Product A - Enhanced User Interface**
We have completely revamped the user interface of Product A to make it even more user-friendly and intuitive. Our team has worked tirelessly to make sure the new design enhances your experience and increases productivity.

2. **Product B - New Features**
After gathering and considering your feedback, we are thrilled to announce some new features for Product B. These features include a more versatile search function, a streamlined data entry system, and advanced reporting capabilities.

3. **Product C - Performance Improvements**
Our team has been focusing on improving the performance of Product C. Our forthcoming update will not only minimize bugs and crashes, but also expedite",0
"Subject: Invitation to the 2021 Annual Academic Symposium at XYZ University 

Dear Students, Faculty, and Staff,

We are pleased to announce the 2021 Annual Academic Symposium at XYZ University that is scheduled to take place from October 14th to 16th, 2021. This event is a cornerstone of our university's academic calendar and highlights the remarkable contributions of our community in diverse fields of research and study.

This year, the theme of the Symposium is 'Innovation and Resilience in a Post-Pandemic World'. The focus will be on sharing insights and exploring strategies to adapt to the major shifts in education, technology, healthcare, and sustainability, among others, caused by the global pandemic.

We are honored to have an impressive lineup of speakers who will share their experiences and wisdom over the course of the three-day event. The detailed schedule and list of keynote speakers will be released on our official website by the end of next week.

The symposium will consist of keynote speeches",0
